"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 12 04:32:57 CST 2021","Fri Nov 12 04:33:06 CST 2021","8530","","test_cart","TestCart","","","添加购物车测试用例",""
"passed","Fri Nov 12 04:33:06 CST 2021","Fri Nov 12 04:33:18 CST 2021","11195","","test_cart","TestCart","","","删除购物车的测试用例",""
